(bonjour, hola)
(au, adios)
(revoir, adios)
(merci, gracias)
(oui, si)
(non, no)
(maison, casa)
(femme, mujer)
(homme, hombre)
(chien, perro)
(chat, gato)
(arbre, arbol)
(livre, libro)
(eau, agua)
(feu, fuego)
(terre, tierra)
(soleil, sol)
(lune, luna)
(ciel, cielo)
(etoile, estrella)
(mer, mar)
(montagne, montana)
(fleur, flor)
(oiseau, pajaro)
(poisson, pez)
(voiture, carro)
(train, tren)
(avion, avion)
(ville, ciudad)
(rue, calle)
(porte, puerta)
(fenetre, ventana)
(table, mesa)
(chaise, silla)
(lit, cama)
(chambre, cuarto)
(cuisine, cocina)
(ami, amigo)
(famille, familia)
(pere, padre)
(mere, madre)
(frere, hermano)
(soeur, hermana)
(enfant, nino)
(garcon, chico)
(fille, chica)
(jour, dia)
(nuit, noche)
(matin, manana)
(soir, tarde)
(temps, tiempo)
(annee, ano)
(mois, mes)
(semaine, semana)
(heure, hora)
(travail, trabajo)
(ecole, escuela)
(argent, dinero)
(amour, amor)
(paix, paz)
(guerre, guerra)
(vie, vida)
(mort, muerte)
(main, mano)
(pied, pie)
(tete, cabeza)
(oeil, ojo)
(bouche, boca)
(nez, nariz)
(oreille, oreja)
(coeur, corazon)
(sang, sangre)
(corps, cuerpo)
(esprit, espiritu)
(dieu, dios)
(roi, rey)
(reine, reina)
(chateau, castillo)
(epee, espada)
(magie, magia)
(dragon, dragon)
(histoire, historia)
